config_id,risk,lines,pucks,row,col,cell_id,category,multiplier,display_multiplier,is_empty
low-5-1,low,5,1,0,0,0_0,outer,1.15,1.15x,false
low-5-1,low,5,1,0,1,1_0,empty,0,0.00x,true
low-5-1,low,5,1,0,2,2_0,empty,0,0.00x,true
low-5-1,low,5,1,0,3,3_0,empty,0,0.00x,true
low-5-1,low,5,1,0,4,4_0,outer,1.15,1.15x,false
low-5-1,low,5,1,1,0,0_1,empty,0,0.00x,true
low-5-1,low,5,1,1,1,1_1,middle,1.65,1.65x,false
low-5-1,low,5,1,1,2,2_1,empty,0,0.00x,true
low-5-1,low,5,1,1,3,3_1,middle,1.65,1.65x,false
low-5-1,low,5,1,1,4,4_1,empty,0,0.00x,true
low-5-1,low,5,1,2,0,0_2,empty,0,0.00x,true
low-5-1,low,5,1,2,1,1_2,empty,0,0.00x,true
low-5-1,low,5,1,2,2,2_2,center,2.4,2.40x,false
low-5-1,low,5,1,2,3,3_2,empty,0,0.00x,true
low-5-1,low,5,1,2,4,4_2,empty,0,0.00x,true
low-5-1,low,5,1,3,0,0_3,empty,0,0.00x,true
low-5-1,low,5,1,3,1,1_3,middle,1.65,1.65x,false
low-5-1,low,5,1,3,2,2_3,empty,0,0.00x,true
low-5-1,low,5,1,3,3,3_3,middle,1.65,1.65x,false
low-5-1,low,5,1,3,4,4_3,empty,0,0.00x,true
low-5-1,low,5,1,4,0,0_4,outer,1.15,1.15x,false
low-5-1,low,5,1,4,1,1_4,empty,0,0.00x,true
low-5-1,low,5,1,4,2,2_4,empty,0,0.00x,true
low-5-1,low,5,1,4,3,3_4,empty,0,0.00x,true
low-5-1,low,5,1,4,4,4_4,outer,1.15,1.15x,false
low-5-2,low,5,2,0,0,0_0,outer,1.15,1.15x,false
low-5-2,low,5,2,0,1,1_0,empty,0,0.00x,true
low-5-2,low,5,2,0,2,2_0,empty,0,0.00x,true
low-5-2,low,5,2,0,3,3_0,empty,0,0.00x,true
low-5-2,low,5,2,0,4,4_0,outer,1.15,1.15x,false
low-5-2,low,5,2,1,0,0_1,empty,0,0.00x,true
low-5-2,low,5,2,1,1,1_1,middle,1.65,1.65x,false
low-5-2,low,5,2,1,2,2_1,empty,0,0.00x,true
low-5-2,low,5,2,1,3,3_1,middle,1.65,1.65x,false
low-5-2,low,5,2,1,4,4_1,empty,0,0.00x,true
low-5-2,low,5,2,2,0,0_2,empty,0,0.00x,true
low-5-2,low,5,2,2,1,1_2,empty,0,0.00x,true
low-5-2,low,5,2,2,2,2_2,center,2.4,2.40x,false
low-5-2,low,5,2,2,3,3_2,empty,0,0.00x,true
low-5-2,low,5,2,2,4,4_2,empty,0,0.00x,true
low-5-2,low,5,2,3,0,0_3,empty,0,0.00x,true
low-5-2,low,5,2,3,1,1_3,middle,1.65,1.65x,false
low-5-2,low,5,2,3,2,2_3,empty,0,0.00x,true
low-5-2,low,5,2,3,3,3_3,middle,1.65,1.65x,false
low-5-2,low,5,2,3,4,4_3,empty,0,0.00x,true
low-5-2,low,5,2,4,0,0_4,outer,1.15,1.15x,false
low-5-2,low,5,2,4,1,1_4,empty,0,0.00x,true
low-5-2,low,5,2,4,2,2_4,empty,0,0.00x,true
low-5-2,low,5,2,4,3,3_4,empty,0,0.00x,true
low-5-2,low,5,2,4,4,4_4,outer,1.15,1.15x,false
low-5-3,low,5,3,0,0,0_0,outer,1.15,1.15x,false
low-5-3,low,5,3,0,1,1_0,empty,0,0.00x,true
low-5-3,low,5,3,0,2,2_0,empty,0,0.00x,true
low-5-3,low,5,3,0,3,3_0,empty,0,0.00x,true
low-5-3,low,5,3,0,4,4_0,outer,1.15,1.15x,false
low-5-3,low,5,3,1,0,0_1,empty,0,0.00x,true
low-5-3,low,5,3,1,1,1_1,middle,1.65,1.65x,false
low-5-3,low,5,3,1,2,2_1,empty,0,0.00x,true
low-5-3,low,5,3,1,3,3_1,middle,1.65,1.65x,false
low-5-3,low,5,3,1,4,4_1,empty,0,0.00x,true
low-5-3,low,5,3,2,0,0_2,empty,0,0.00x,true
low-5-3,low,5,3,2,1,1_2,empty,0,0.00x,true
low-5-3,low,5,3,2,2,2_2,center,2.4,2.40x,false
low-5-3,low,5,3,2,3,3_2,empty,0,0.00x,true
low-5-3,low,5,3,2,4,4_2,empty,0,0.00x,true
low-5-3,low,5,3,3,0,0_3,empty,0,0.00x,true
low-5-3,low,5,3,3,1,1_3,middle,1.65,1.65x,false
low-5-3,low,5,3,3,2,2_3,empty,0,0.00x,true
low-5-3,low,5,3,3,3,3_3,middle,1.65,1.65x,false
low-5-3,low,5,3,3,4,4_3,empty,0,0.00x,true
low-5-3,low,5,3,4,0,0_4,outer,1.15,1.15x,false
low-5-3,low,5,3,4,1,1_4,empty,0,0.00x,true
low-5-3,low,5,3,4,2,2_4,empty,0,0.00x,true
low-5-3,low,5,3,4,3,3_4,empty,0,0.00x,true
low-5-3,low,5,3,4,4,4_4,outer,1.15,1.15x,false
low-6-1,low,6,1,0,0,0_0,outer,1.15,1.15x,false
low-6-1,low,6,1,0,1,1_0,empty,0,0.00x,true
low-6-1,low,6,1,0,2,2_0,empty,0,0.00x,true
low-6-1,low,6,1,0,3,3_0,empty,0,0.00x,true
low-6-1,low,6,1,0,4,4_0,empty,0,0.00x,true
low-6-1,low,6,1,0,5,5_0,outer,1.15,1.15x,false
low-6-1,low,6,1,1,0,0_1,empty,0,0.00x,true
low-6-1,low,6,1,1,1,1_1,middle,1.65,1.65x,false
low-6-1,low,6,1,1,2,2_1,empty,0,0.00x,true
low-6-1,low,6,1,1,3,3_1,empty,0,0.00x,true
low-6-1,low,6,1,1,4,4_1,middle,1.65,1.65x,false
low-6-1,low,6,1,1,5,5_1,empty,0,0.00x,true
low-6-1,low,6,1,2,0,0_2,empty,0,0.00x,true
low-6-1,low,6,1,2,1,1_2,empty,0,0.00x,true
low-6-1,low,6,1,2,2,2_2,center,2.4,2.40x,false
low-6-1,low,6,1,2,3,3_2,center,2.4,2.40x,false
low-6-1,low,6,1,2,4,4_2,empty,0,0.00x,true
low-6-1,low,6,1,2,5,5_2,empty,0,0.00x,true
low-6-1,low,6,1,3,0,0_3,empty,0,0.00x,true
low-6-1,low,6,1,3,1,1_3,empty,0,0.00x,true
low-6-1,low,6,1,3,2,2_3,center,2.4,2.40x,false
low-6-1,low,6,1,3,3,3_3,center,2.4,2.40x,false
low-6-1,low,6,1,3,4,4_3,empty,0,0.00x,true
low-6-1,low,6,1,3,5,5_3,empty,0,0.00x,true
low-6-1,low,6,1,4,0,0_4,empty,0,0.00x,true
low-6-1,low,6,1,4,1,1_4,middle,1.65,1.65x,false
low-6-1,low,6,1,4,2,2_4,empty,0,0.00x,true
low-6-1,low,6,1,4,3,3_4,empty,0,0.00x,true
low-6-1,low,6,1,4,4,4_4,middle,1.65,1.65x,false
low-6-1,low,6,1,4,5,5_4,empty,0,0.00x,true
low-6-1,low,6,1,5,0,0_5,outer,1.15,1.15x,false
low-6-1,low,6,1,5,1,1_5,empty,0,0.00x,true
low-6-1,low,6,1,5,2,2_5,empty,0,0.00x,true
low-6-1,low,6,1,5,3,3_5,empty,0,0.00x,true
low-6-1,low,6,1,5,4,4_5,empty,0,0.00x,true
low-6-1,low,6,1,5,5,5_5,outer,1.15,1.15x,false
low-6-2,low,6,2,0,0,0_0,outer,1.15,1.15x,false
low-6-2,low,6,2,0,1,1_0,empty,0,0.00x,true
low-6-2,low,6,2,0,2,2_0,empty,0,0.00x,true
low-6-2,low,6,2,0,3,3_0,empty,0,0.00x,true
low-6-2,low,6,2,0,4,4_0,empty,0,0.00x,true
low-6-2,low,6,2,0,5,5_0,outer,1.15,1.15x,false
low-6-2,low,6,2,1,0,0_1,empty,0,0.00x,true
low-6-2,low,6,2,1,1,1_1,middle,1.65,1.65x,false
low-6-2,low,6,2,1,2,2_1,empty,0,0.00x,true
low-6-2,low,6,2,1,3,3_1,empty,0,0.00x,true
low-6-2,low,6,2,1,4,4_1,middle,1.65,1.65x,false
low-6-2,low,6,2,1,5,5_1,empty,0,0.00x,true
low-6-2,low,6,2,2,0,0_2,empty,0,0.00x,true
low-6-2,low,6,2,2,1,1_2,empty,0,0.00x,true
low-6-2,low,6,2,2,2,2_2,center,2.4,2.40x,false
low-6-2,low,6,2,2,3,3_2,center,2.4,2.40x,false
low-6-2,low,6,2,2,4,4_2,empty,0,0.00x,true
low-6-2,low,6,2,2,5,5_2,empty,0,0.00x,true
low-6-2,low,6,2,3,0,0_3,empty,0,0.00x,true
low-6-2,low,6,2,3,1,1_3,empty,0,0.00x,true
low-6-2,low,6,2,3,2,2_3,center,2.4,2.40x,false
low-6-2,low,6,2,3,3,3_3,center,2.4,2.40x,false
low-6-2,low,6,2,3,4,4_3,empty,0,0.00x,true
low-6-2,low,6,2,3,5,5_3,empty,0,0.00x,true
low-6-2,low,6,2,4,0,0_4,empty,0,0.00x,true
low-6-2,low,6,2,4,1,1_4,middle,1.65,1.65x,false
low-6-2,low,6,2,4,2,2_4,empty,0,0.00x,true
low-6-2,low,6,2,4,3,3_4,empty,0,0.00x,true
low-6-2,low,6,2,4,4,4_4,middle,1.65,1.65x,false
low-6-2,low,6,2,4,5,5_4,empty,0,0.00x,true
low-6-2,low,6,2,5,0,0_5,outer,1.15,1.15x,false
low-6-2,low,6,2,5,1,1_5,empty,0,0.00x,true
low-6-2,low,6,2,5,2,2_5,empty,0,0.00x,true
low-6-2,low,6,2,5,3,3_5,empty,0,0.00x,true
low-6-2,low,6,2,5,4,4_5,empty,0,0.00x,true
low-6-2,low,6,2,5,5,5_5,outer,1.15,1.15x,false
low-6-3,low,6,3,0,0,0_0,outer,1.15,1.15x,false
low-6-3,low,6,3,0,1,1_0,empty,0,0.00x,true
low-6-3,low,6,3,0,2,2_0,empty,0,0.00x,true
low-6-3,low,6,3,0,3,3_0,empty,0,0.00x,true
low-6-3,low,6,3,0,4,4_0,empty,0,0.00x,true
low-6-3,low,6,3,0,5,5_0,outer,1.15,1.15x,false
low-6-3,low,6,3,1,0,0_1,empty,0,0.00x,true
low-6-3,low,6,3,1,1,1_1,middle,1.65,1.65x,false
low-6-3,low,6,3,1,2,2_1,empty,0,0.00x,true
low-6-3,low,6,3,1,3,3_1,empty,0,0.00x,true
low-6-3,low,6,3,1,4,4_1,middle,1.65,1.65x,false
low-6-3,low,6,3,1,5,5_1,empty,0,0.00x,true
low-6-3,low,6,3,2,0,0_2,empty,0,0.00x,true
low-6-3,low,6,3,2,1,1_2,empty,0,0.00x,true
low-6-3,low,6,3,2,2,2_2,center,2.4,2.40x,false
low-6-3,low,6,3,2,3,3_2,center,2.4,2.40x,false
low-6-3,low,6,3,2,4,4_2,empty,0,0.00x,true
low-6-3,low,6,3,2,5,5_2,empty,0,0.00x,true
low-6-3,low,6,3,3,0,0_3,empty,0,0.00x,true
low-6-3,low,6,3,3,1,1_3,empty,0,0.00x,true
low-6-3,low,6,3,3,2,2_3,center,2.4,2.40x,false
low-6-3,low,6,3,3,3,3_3,center,2.4,2.40x,false
low-6-3,low,6,3,3,4,4_3,empty,0,0.00x,true
low-6-3,low,6,3,3,5,5_3,empty,0,0.00x,true
low-6-3,low,6,3,4,0,0_4,empty,0,0.00x,true
low-6-3,low,6,3,4,1,1_4,middle,1.65,1.65x,false
low-6-3,low,6,3,4,2,2_4,empty,0,0.00x,true
low-6-3,low,6,3,4,3,3_4,empty,0,0.00x,true
low-6-3,low,6,3,4,4,4_4,middle,1.65,1.65x,false
low-6-3,low,6,3,4,5,5_4,empty,0,0.00x,true
low-6-3,low,6,3,5,0,0_5,outer,1.15,1.15x,false
low-6-3,low,6,3,5,1,1_5,empty,0,0.00x,true
low-6-3,low,6,3,5,2,2_5,empty,0,0.00x,true
low-6-3,low,6,3,5,3,3_5,empty,0,0.00x,true
low-6-3,low,6,3,5,4,4_5,empty,0,0.00x,true
low-6-3,low,6,3,5,5,5_5,outer,1.15,1.15x,false
low-7-1,low,7,1,0,0,0_0,outer,1.15,1.15x,false
low-7-1,low,7,1,0,1,1_0,empty,0,0.00x,true
low-7-1,low,7,1,0,2,2_0,empty,0,0.00x,true
low-7-1,low,7,1,0,3,3_0,empty,0,0.00x,true
low-7-1,low,7,1,0,4,4_0,empty,0,0.00x,true
low-7-1,low,7,1,0,5,5_0,empty,0,0.00x,true
low-7-1,low,7,1,0,6,6_0,outer,1.15,1.15x,false
low-7-1,low,7,1,1,0,0_1,empty,0,0.00x,true
low-7-1,low,7,1,1,1,1_1,middle,1.65,1.65x,false
low-7-1,low,7,1,1,2,2_1,empty,0,0.00x,true
low-7-1,low,7,1,1,3,3_1,empty,0,0.00x,true
low-7-1,low,7,1,1,4,4_1,empty,0,0.00x,true
low-7-1,low,7,1,1,5,5_1,middle,1.65,1.65x,false
low-7-1,low,7,1,1,6,6_1,empty,0,0.00x,true
low-7-1,low,7,1,2,0,0_2,empty,0,0.00x,true
low-7-1,low,7,1,2,1,1_2,empty,0,0.00x,true
low-7-1,low,7,1,2,2,2_2,middle,1.65,1.65x,false
low-7-1,low,7,1,2,3,3_2,empty,0,0.00x,true
low-7-1,low,7,1,2,4,4_2,middle,1.65,1.65x,false
low-7-1,low,7,1,2,5,5_2,empty,0,0.00x,true
low-7-1,low,7,1,2,6,6_2,empty,0,0.00x,true
low-7-1,low,7,1,3,0,0_3,empty,0,0.00x,true
low-7-1,low,7,1,3,1,1_3,empty,0,0.00x,true
low-7-1,low,7,1,3,2,2_3,empty,0,0.00x,true
low-7-1,low,7,1,3,3,3_3,center,2.4,2.40x,false
low-7-1,low,7,1,3,4,4_3,empty,0,0.00x,true
low-7-1,low,7,1,3,5,5_3,empty,0,0.00x,true
